,match_id,premiere_rating,date,map,team_1,team_1_score,team_2,team_2_score,KDA
0,229412472,5384,2024-12-15 17:39:31.631857,de_dust2,"['1.9tdi peek', '♛Jeffo♛', 'Br4nk0', '几乇卄ㄚ', 'dsa//-TaR-TaR-//use']",0,"['↊Oͦ2', 'Karma', 'ALCHERA', 'SwigaPegaCASE.GIFT', 'P€Rs€¡D']",5,"['26', '26', '13']"
1,229412306,2304,2024-12-15 17:39:32.592717,de_dust2,"['ali.bakytzhan0104', 'E7_Yeti', 'NVIDIA GTX 960 M']",3,"['DEZGAH', 'Kremówa', 'Kowalski', 'Alpeev', 'FуNDуk']",7,"['46', '48', '11']"
2,229412219,6967,2024-12-15 17:39:32.670801,de_inferno,"['Putlerёnok RUN', 'Haski', '18 критов невезения', 'bogii', 'SivasAvcısı']",8,"['What is love', 'self-effacing', 'typical baltica 9 enjoyer', '𝓑𝓐𝓝𝓓𝓘𝓣', 'K-н⠀Akimbekov']",1,"['59', '63', '18']"
3,229412342,11439,2024-12-15 17:39:32.763574,de_dust2,"['гастритные яица', 'Godz', 'Damn Son !', 'KryptOn', '呼吸哥']",3,"['Lagan bebo <3', 'прищ', 'exetripllsex', 'Ам ам ам ам ам', 'skinny']",8,"['73', '79', '20']"
4,229412191,9305,2024-12-15 17:39:32.841476,de_dust2,"['BellySHake98', 'Donk Enjoyer', 'AEPEUTEOSWEIBEU', 'Shraggy', 'Bill Nye']",11,"['Noggin Clicker', 'ExtremistRat427', 'ke.grey', 'Jerry', 'chris']",2,"['76', '76', '20']"
5,229412275,8062,2024-12-15 17:39:33.095084,de_dust2,"['ropz', 'LOVE MICROWAVE', 'ZaNi', 'EdemsOne', 'Sheckhin']",10,"['добри', 'BostonChris', 'Nâzaré', 'cloud', 'Jothkay']",2,"['77', '81', '32']"
6,229412103,2395,2024-12-15 17:39:33.172286,de_inferno,"['ShufflesNutMilk', 'dominion', 'JAGUAR256', 'elukiitis', 'Joy_Boy']",9,"['Sasha', 'A', 'OPIUM prime', 'OVO', 'Jenceslaw I.']",1,"['46', '50', '20']"
7,229411878,15338,2024-12-15 17:39:33.249956,de_dust2,"['我不玩原神', 'not whoa', 'Chinese Negroid - negrotech.ai', '鸡鸡爆', 'MostHatedKuya']",13,"['zlxlc', 'Ashley Graves', 'adept.', 'The Law', 'ramonjunier']",0,"['85', '87', '2']"
8,229412580,5136,2024-12-15 17:39:33.592919,de_nuke,"['EnaCryptic', 'Crago', 'Slowmo', 'Tobastian', 'mad1k']",2,"['СКУФИНКС', 'RW40', 'bandzioszka', 'laruz7', '™Kam1Lo']",13,"['103', '103', '28']"
9,229411438,4439,2024-12-15 17:39:33.669610,de_dust2,"['The Judge', 'Lader', 'Bobo85', 'MxPy', 'Jloban']",4,"['BIGBBODYBRRR', '""Hs""AnDi', '◤𝐑𝐚𝐛𝐢𝐝𝐨◢', 'thepclr', 'Crazyrostik']",1,"['26', '28', '10']"
10,229412221,19354,2024-12-15 17:39:34.014522,de_inferno,"['sefu', '🐝🐝🐝', 'mm', 'Z', 'GAZ141']",4,"['Гадаю', 'Daddy', 'gggggdgdgd', 'OSKARWUU ************', 'odinrazpokazyvau']",13,"['111', '116', '3']"
11,229411602,12788,2024-12-15 17:39:34.470414,de_dust2,"['racist n1', 'Hassbulapick', 'ManW', 'm0NESY', '◘ INSIDER ◘']",1,"['肏你妈', '𝖒𝖎𝖜𝖔', '', 'MF', 'art.']",13,"['82', '87', '20']"
12,229412620,19942,2024-12-15 17:39:34.566201,de_dust2,"['-Predak', 'absolute?     stat1k?!', 'Forlo Fronso', 'Teapson', 'StaTerA']",13,"['SturmRebell ツ', 'Raven', 'Fleischmützen Heikoh', 'aCCu', 'DoubleD ツ']",3,"['121', '122', '41']"
13,229412577,5676,2024-12-15 17:39:34.798186,de_anubis,"['Samu', 'Alloy', 'odin181969', 'SNORKEL', 'AXE']",3,"['ЖИТЕЛЬ ПЕНИСА(сперма)', 'TAKESHI KIROSHI', 'пепсик', 'PSG.HQD.depressed_vkid', 'EnginE']",13,"['115', '115', '38']"
14,229412406,13405,2024-12-15 17:39:34.904668,de_dust2,"['skezzo', 'karlsen', 'Fil9', 'Piparinssss', 'V_potoke ""Mr.7aker""']",13,"['☭Dildo.Vaggins☭', '👻Sintox👻', 'Ahoso Vidaho', 'Instathomas22', 'mariQu']",2,"['105', '105', '38']"
15,229412313,9609,2024-12-15 17:39:34.999618,de_inferno,"['BETTER_WORLD', 'Unkn0wn', 'Sil3-dll', 'SwizzyPL', '']",1,"['rYn', 'Jim Morrison', 'KUKANDOPOLYA', 'Eljo:-', 'MikShU']",13,"['93', '95', '22']"
16,229412472,5384,2024-12-15 17:39:43.291564,de_dust2,"['1.9tdi peek', '♛Jeffo♛', 'Br4nk0', '几乇卄ㄚ', 'dsa//-TaR-TaR-//use']",0,"['↊Oͦ2', 'Karma', 'ALCHERA', 'SwigaPegaCASE.GIFT', 'P€Rs€¡D']",5,"['26', '26', '13']"
17,229412627,14943,2024-12-15 17:39:43.580208,de_vertigo,"['asu', 'kucinggoreng101', 'im blue', 'R9']",3,"['ZooM', '7777', 'i can fix her', 'KiLo-', 'ᰔᩚ']",6,"['50', '51', '14']"
18,229412306,2304,2024-12-15 17:39:44.316110,de_dust2,"['ali.bakytzhan0104', 'E7_Yeti', 'NVIDIA GTX 960 M']",3,"['DEZGAH', 'Kremówa', 'Kowalski', 'Alpeev', 'FуNDуk']",7,"['46', '48', '11']"
19,229412219,6967,2024-12-15 17:39:44.385172,de_inferno,"['Putlerёnok RUN', 'Haski', '18 критов невезения', 'bogii', 'SivasAvcısı']",8,"['What is love', 'self-effacing', 'typical baltica 9 enjoyer', '𝓑𝓐𝓝𝓓𝓘𝓣', 'K-н⠀Akimbekov']",1,"['59', '63', '18']"
20,229412342,11439,2024-12-15 17:39:44.472864,de_dust2,"['гастритные яица', 'Godz', 'Damn Son !', 'KryptOn', '呼吸哥']",3,"['Lagan bebo <3', 'прищ', 'exetripllsex', 'Ам ам ам ам ам', 'skinny']",8,"['73', '79', '20']"
21,229412191,9305,2024-12-15 17:39:44.545928,de_dust2,"['BellySHake98', 'Donk Enjoyer', 'AEPEUTEOSWEIBEU', 'Shraggy', 'Bill Nye']",11,"['Noggin Clicker', 'ExtremistRat427', 'ke.grey', 'Jerry', 'chris']",2,"['76', '76', '20']"
22,229412275,8062,2024-12-15 17:39:44.774579,de_dust2,"['ropz', 'LOVE MICROWAVE', 'ZaNi', 'EdemsOne', 'Sheckhin']",10,"['добри', 'BostonChris', 'Nâzaré', 'cloud', 'Jothkay']",2,"['77', '81', '32']"
23,229412649,1158,2024-12-15 17:39:44.847761,de_nuke,"['ATIK•GAME yt', 'Cтажер', 'AdamBB', 'шах', 'Гюрза']",0,"['Papito', 'Skuty Piernik', 'Kaveh', 'honzakbonzak', 'Ma1kowy']",13,"['99', '99', '28']"
24,229412103,2395,2024-12-15 17:39:44.920428,de_inferno,"['ShufflesNutMilk', 'dominion', 'JAGUAR256', 'elukiitis', 'Joy_Boy']",9,"['Sasha', 'A', 'OPIUM prime', 'OVO', 'Jenceslaw I.']",1,"['46', '50', '20']"
25,229411878,15338,2024-12-15 17:39:44.996659,de_dust2,"['我不玩原神', 'not whoa', 'Chinese Negroid - negrotech.ai', '鸡鸡爆', 'MostHatedKuya']",13,"['zlxlc', 'Ashley Graves', 'adept.', 'The Law', 'ramonjunier']",0,"['85', '87', '2']"
26,229412640,5591,2024-12-15 17:39:45.324487,de_dust2,"['vice versa :D nicolai cage', 'раскумарился', 'MERGEN БЕК', '$okoЛ', 'NuTs']",3,"['FREIFICKMUSCHI', 'Kawai | kitsune', 'fearless', 'Noob1k', 'Germanius']",13,"['106', '107', '31']"
27,229412580,5136,2024-12-15 17:39:45.400071,de_nuke,"['EnaCryptic', 'Crago', 'Slowmo', 'Tobastian', 'mad1k']",2,"['СКУФИНКС', 'RW40', 'bandzioszka', 'laruz7', '™Kam1Lo']",13,"['103', '103', '28']"
