,match_id,map_bias,t1_p1,t1_p2,t1_p3,t1_p4,t1_p5,t2_p1,t2_p2,t2_p3,t2_p4,t2_p5,winner
0,224638109,0.47,"[12090, 13559, 0.98, 1.11, 0.46, 0.44, 0.08, 0.15, 0.1, 0.31, 0.05803571428571429]","[12058, 16117, 0.95, 1.02, 0.49, 0.36, 0.07, 0.17, 0.09, 0.45, 0.10462287104622871]","[11299, 15907, 1.13, 1.18, 0.49, 0.56, 0.08, 0.19, 0.13, 0.42, 0.10344827586206896]","[11188, 15118, 0.98, 1.08, 0.5, 0.41, 0.07, 0.17, 0.11, 0.56, 0.0782608695652174]","[14190, 18846, 0.9, 1.03, 0.51, 0.38, 0.07, 0.14, 0.07, 0.67, 0.0891089108910891]","[11362, 13033, 1.24, 1.32, 0.5, 0.33, 0.09, 0.16, 0.17, 0.56, 0.12244897959183673]","[11879, 12242, 1.09, 1.17, 0.51, 0.44, 0.08, 0.17, 0.1, 0.55, 0.13034623217922606]","[8740, 13408, 0.89, 0.98, 0.47, 0.54, 0.07, 0.15, 0.09, 0.52, 0.12121212121212122]","[10111, 11826, 0.81, 0.91, 0.43, 0.47, 0.06, 0.15, 0.07, 0.52, 0.11827956989247312]","[10845, 18239, 0.92, 1.05, 0.48, 0.37, 0.07, 0.16, 0.08, 0.52, 0.12478184991273997]",team_2
1,224638069,0.492,"[15810, 15810, 1.96, 1.66, 0.79, 0.79, 1.12, 0.27, 0.18, 0.75, 0.21052631578947367]","[10475, 10726, 1.42, 1.35, 0.58, 0.32, 1.01, 0.22, 0.14, 0.75, 0.12903225806451613]","[13502, 13502, 1.52, 1.48, 0.62, 0.44, 0.1, 0.25, 0.15, 0.67, 0.23076923076923078]","[17613, 17613, 0.9, 0.99, 0.55, 0.49, 0.07, 0.17, 0.07, 0.63, 0.1323529411764706]","[17888, 21205, 1.25, 1.36, 0.54, 0.42, 0.1, 0.21, 0.17, 0.36, 0.03873239436619718]","[11768, 12635, 1.47, 1.24, 0.55, 0.48, 0.88, 0.12, 0.2, 0.5, 0.13793103448275862]","[11863, 12385, 1.51, 1.36, 0.63, 0.51, 0.09, 0.21, 0.12, 0.63, 0.16521739130434782]","[13282, 14999, 1.01, 1.03, 0.51, 0.59, 0.07, 0.16, 0.11, 0.54, 0.19433198380566802]","[12981, 12981, 1.11, 1.14, 0.5, 0.45, 0.83, 0.23, 0.1, 0.6, 0.5357142857142857]","[18468, 19282, 1.81, 1.27, 0.78, 0.76, 0.74, 0.25, 0.14, 0.8, 0.2777777777777778]",team_1
2,224637275,0.514,"[24999, 25966, 2.18, 1.87, 0.84, 0.73, 1.3, 0.37, 0.19, 1.0, 0.06451612903225806]","[19211, 19996, 1.18, 1.24, 0.57, 0.56, 0.08, 0.17, 0.1, 0.63, 0.07920792079207921]","[17580, 18921, 0.99, 1.07, 0.56, 0.53, 0.07, 0.21, 0.1, 0.57, 0.09090909090909091]","[14653, 14653, 1.69, 1.56, 0.58, 0.57, 0.1, 0.29, 0.11, 0.5, 0.02040816326530612]","[15506, 16132, 1.21, 1.25, 0.54, 0.6, 0.89, 0.22, 0.12, 0.67, 0.04072398190045249]","[0, 17683, 2.41, 1.88, 0.67, 0.51, 1.31, 0.3, 0.22, 0.5, 0.09523809523809523]","[17317, 18002, 0.99, 1.11, 0.51, 0.44, 0.08, 0.18, 0.15, 0.49, 0.1291139240506329]","[15997, 17376, 0.93, 0.95, 0.21, 0.66, 0.07, 0.06, 0.13, 0.0, 0.07142857142857142]","[0, 0, 1.49, 1.34, 0.5, 0.71, 0.95, 0.09, 0.13, 0.5, 0.3333333333333333]",,team_1
3,224638294,0.492,"[2352, 4509, 0.93, 1.07, 0.44, 0.39, 0.08, 0.2, 0.09, 0.33, 0.10714285714285714]","[2456, 4797, 1.06, 1.15, 0.46, 0.3, 0.08, 0.2, 0.06, 0.31, 0.14285714285714285]","[2267, 4699, 0.85, 1.05, 0.45, 0.36, 0.08, 0.26, 0.17, 0.42, 0.10909090909090909]","[2486, 4745, 0.89, 1.0, 0.45, 0.31, 0.06, 0.17, 0.03, 0.31, 0.11347517730496454]","[1267, 2807, 0.67, 0.77, 0.37, 0.39, 0.06, 0.1, 0.05, 0.39, 0.2789115646258503]","[1696, 2038, 0.58, 0.62, 0.29, 0.25, 0.05, 0.09, 0.08, 0.28, 0.808]","[1479, 2754, 0.57, 0.56, 0.33, 0.41, 0.05, 0.12, 0.1, 0.34, 0.3465346534653465]","[1163, 3910, 0.68, 0.77, 0.38, 0.35, 0.05, 0.12, 0.06, 0.38, 0.6894409937888198]","[2224, 3051, 0.69, 0.81, 0.38, 0.61, 0.06, 0.12, 0.09, 0.41, 0.2543859649122807]","[1104, 4050, 0.75, 0.82, 0.32, 0.33, 0.06, 0.12, 0.05, 0.2, 0.10638297872340426]",team_1
4,224638480,0.492,"[9068, 9853, 0.93, 1.06, 0.47, 0.36, 0.07, 0.19, 0.07, 0.39, 0.12840466926070038]","[8544, 8758, 0.88, 1.01, 0.44, 0.41, 0.07, 0.18, 0.11, 0.38, 0.13026819923371646]","[7385, 9365, 0.89, 1.0, 0.46, 0.39, 0.07, 0.12, 0.12, 0.44, 0.1791907514450867]","[10523, 12042, 1.27, 1.43, 0.55, 0.41, 0.1, 0.24, 0.21, 0.59, 0.09166666666666666]","[7874, 8703, 1.01, 1.09, 0.42, 0.29, 0.07, 0.17, 0.06, 0.43, 0.10900473933649289]","[10000, 14999, 0.79, 0.93, 0.44, 0.48, 0.07, 0.15, 0.1, 0.42, 0.36]","[10000, 10120, 1.14, 1.24, 0.49, 0.3, 0.09, 0.19, 0.13, 0.5, 0.2028985507246377]","[4883, 7024, 0.85, 0.95, 0.43, 0.38, 0.07, 0.16, 0.11, 0.41, 0.1452991452991453]","[4183, 14475, 1.16, 1.16, 0.47, 0.61, 0.08, 0.17, 0.11, 0.55, 0.046218487394957986]","[10829, 10829, 0.94, 1.07, 0.49, 0.43, 0.07, 0.19, 0.09, 0.55, 0.1440677966101695]",team_1
5,224637638,0.491,"[7335, 10912, 0.98, 1.04, 0.4, 0.28, 0.75, 0.17, 0.08, 0.45, 0.10891089108910891]","[8506, 9590, 1.1, 1.13, 0.58, 0.37, 0.08, 0.16, 0.1, 0.52, 0.42]","[8200, 9999, 0.97, 1.01, 0.42, 0.45, 0.07, 0.14, 0.05, 0.29, 0.16279069767441862]","[4841, 5808, 0.82, 0.95, 0.45, 0.43, 0.76, 0.2, 0.1, 0.5, 0.2727272727272727]","[7376, 12659, 1.06, 1.12, 0.44, 0.35, 0.07, 0.2, 0.08, 0.5, 0.25]","[9123, 9999, 0.85, 1.03, 0.45, 0.43, 0.08, 0.16, 0.14, 0.38, 0.20863309352517986]","[10667, 10900, 0.74, 0.86, 0.36, 0.41, 0.06, 0.2, 0.08, 0.59, 0.25757575757575757]","[9961, 9999, 1.1, 1.21, 0.49, 0.44, 0.08, 0.16, 0.15, 0.48, 0.23484848484848486]","[10102, 10107, 1.39, 1.37, 0.59, 0.46, 0.09, 0.17, 0.12, 0.5, 0.2727272727272727]","[7685, 8944, 0.96, 1.08, 0.45, 0.31, 0.08, 0.17, 0.13, 0.4, 0.07246376811594203]",team_2
6,224637980,0.503,"[27368, 27368, 1.72, 1.73, 0.62, 0.67, 0.12, 0.3, 0.21, 0.43, 0.19327731092436976]","[23325, 23325, 1.3, 1.2, 0.62, 0.41, 0.85, 0.19, 0.1, 0.67, 0.14634146341463414]","[22166, 24814, 1.2, 1.26, 0.58, 0.53, 0.09, 0.18, 0.12, 0.71, 0.13934426229508196]","[18995, 22020, 1.08, 1.14, 0.53, 0.51, 0.08, 0.16, 0.12, 0.52, 0.17032967032967034]","[24613, 24613, 1.09, 1.2, 0.54, 0.44, 0.09, 0.18, 0.13, 0.66, 0.2328767123287671]","[19292, 22004, 1.18, 1.24, 0.52, 0.56, 0.08, 0.21, 0.13, 0.48, 0.1787709497206704]","[19999, 22199, 1.15, 1.25, 0.54, 0.54, 0.08, 0.19, 0.1, 0.29, 0.06296296296296296]","[17188, 22058, 1.2, 1.25, 0.52, 0.45, 0.08, 0.23, 0.11, 0.44, 0.18627450980392157]","[23574, 24827, 1.18, 1.29, 0.55, 0.56, 0.09, 0.2, 0.14, 0.58, 0.21621621621621623]","[14885, 18416, 0.68, 0.76, 0.44, 0.38, 0.05, 0.15, 0.04, 0.38, 0.21144278606965175]",team_1
7,224637954,0.492,"[10984, 17479, 0.87, 0.96, 0.47, 0.58, 0.07, 0.15, 0.11, 0.46, 0.10786802030456853]","[11325, 16429, 0.91, 1.02, 0.5, 0.49, 0.07, 0.17, 0.08, 0.41, 0.1598360655737705]","[10883, 12591, 1.13, 1.2, 0.49, 0.53, 0.08, 0.18, 0.1, 0.48, 0.19831932773109243]","[11588, 15485, 0.95, 1.07, 0.46, 0.36, 0.08, 0.16, 0.13, 0.5, 0.1767515923566879]","[5185, 11834, 0.93, 0.98, 0.47, 0.48, 0.07, 0.15, 0.11, 0.46, 0.3441295546558704]","[15327, 17004, 1.25, 1.28, 0.53, 0.44, 0.08, 0.2, 0.09, 0.47, 0.143796992481203]","[16394, 17218, 1.12, 1.16, 0.52, 0.36, 0.08, 0.17, 0.12, 0.46, 0.1264274061990212]","[17758, 18094, 1.01, 1.13, 0.54, 0.42, 0.08, 0.15, 0.11, 0.54, 0.13043478260869565]","[8871, 13626, 0.73, 0.83, 0.42, 0.37, 0.06, 0.09, 0.11, 0.33, 0.17086834733893558]","[7629, 10889, 0.75, 0.83, 0.4, 0.38, 0.06, 0.13, 0.11, 0.35, 0.1050228310502283]",team_2
8,224638111,0.503,"[11199, 13053, 1.13, 1.2, 0.49, 0.44, 0.08, 0.2, 0.14, 0.31, 0.03285420944558522]","[13412, 14999, 1.43, 1.43, 0.53, 0.38, 0.09, 0.19, 0.15, 0.27, 0.026829268292682926]","[9891, 13196, 0.76, 0.87, 0.47, 0.45, 0.06, 0.13, 0.06, 0.36, 0.03508771929824561]","[10975, 12211, 0.78, 0.88, 0.46, 0.61, 0.06, 0.2, 0.1, 0.38, 0.0456140350877193]","[10000, 12033, 0.79, 0.9, 0.48, 0.47, 0.06, 0.16, 0.08, 0.25, 0.04]","[16149, 16803, 1.46, 1.45, 0.54, 0.54, 0.1, 0.22, 0.18, 0.64, 0.19281045751633988]","[12907, 13786, 0.52, 0.62, 0.43, 0.52, 0.04, 0.12, 0.06, 0.44, 0.1927710843373494]","[13725, 14761, 1.22, 1.32, 0.49, 0.5, 0.09, 0.2, 0.12, 0.55, 0.1875]","[14999, 14999, 0.91, 1.02, 0.5, 0.54, 0.07, 0.17, 0.08, 0.59, 0.19402985074626866]","[12094, 15450, 1.12, 1.12, 0.54, 0.5, 0.07, 0.19, 0.07, 0.5, 0.1016949152542373]",team_2
9,224638377,0.492,"[13185, 14240, 1.58, 1.55, 0.49, 0.44, 0.1, 0.24, 0.1, 0.31, 0.15853658536585366]","[12605, 16933, 1.01, 1.05, 0.42, 0.46, 0.07, 0.15, 0.1, 0.38, 0.20192307692307693]","[10596, 12283, 0.85, 0.95, 0.41, 0.36, 0.06, 0.17, 0.06, 0.29, 0.1935483870967742]","[5110, 5110, 0.7, 0.86, 0.41, 0.42, 0.06, 0.14, 0.1, 0.67, 0.1111111111111111]","[15124, 15124, 1.2, 1.24, 0.54, 0.56, 0.09, 0.18, 0.16, 0.52, 0.19424460431654678]","[11898, 13687, 0.86, 0.98, 0.45, 0.47, 0.06, 0.17, 0.06, 0.33, 0.14285714285714285]","[11882, 13614, 1.09, 1.2, 0.47, 0.38, 0.87, 0.17, 0.14, 0.42, 0.1411764705882353]","[13345, 14664, 0.87, 1.01, 0.47, 0.46, 0.07, 0.16, 0.1, 0.5, 0.23595505617977527]","[9722, 9722, 0.76, 0.86, 0.31, 0.44, 0.71, 0.2, 0.13, 0.25, 0.5]","[10405, 11393, 0.97, 1.06, 0.48, 0.46, 0.75, 0.17, 0.07, 0.7, 0.23809523809523808]",team_1
