,feature,correlation,p_value
0,MWRda,0.6433251963754779,3.9512019579104014e-128
1,CRda,0.5917438123082914,9.2189721732231e-104
2,HLTVrda,0.5330470690781102,6.731110270335664e-81
3,WRda,0.5098012585206714,5.0227008050886834e-73
4,KDda,0.3647502711965628,1.419401041316194e-35
5,ESda,0.36117604582246887,7.26166458604583e-35
6,CSda,0.3562934029451782,6.531426367217312e-34
7,HRda,0.31894153655475144,3.787521669896552e-27
8,HSpda,0.23473526153717436,4.376304486961768e-15
9,MPRda,0.04712046480214674,0.12034253629089411
10,ADRda,0.030993862594198826,0.3070659293805913
11,mBias,0.017842389310742116,0.5566002709020306
